"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3700","Verify Social Auth (Google) navigation","default","2026-02-18","passed","2026-02-18","Login - Social Auth","features/auth/login.spec.ts","",""
"","2062","Verify chat widget is visible before login","default","2026-02-18","passed","2026-02-18","Chat Widget Visibility","features/general/chat-widget.spec.ts","",""
"","8403","My Group listing loads with correct visibility and status","default","2026-02-18","passed","2026-02-18","Groups – Listing","features/dashboard/group-listing.spec.ts","",""
"","2645","Verify chat widget is visible after login","default","2026-02-18","passed","2026-02-18","Chat Widget Visibility","features/general/chat-widget.spec.ts","",""
"","2495","Verify maximum password length validation on Registration","default","2026-02-18","passed","2026-02-18","Registration - Validation","features/auth/registration.spec.ts","",""
"","27032","User can request password reset and update password successfully","default","2026-02-18","failed","2026-02-18","Forgot Password Flow","features/auth/forgot-password.spec.ts","",""
"","2242","Application loads successfully","default","2026-02-18","passed","2026-02-18","App Load","features/core/app-load.spec.ts","",""
"","8828","Step 3: Configure Group Membership","default","2026-02-18","passed","2026-02-18","Group Lifecycle Flow","features/group/group-lifecycle.spec.ts","",""
"","4602","Login - Verify maximum password length validation","default","2026-02-18","passed","2026-02-18","Login - Maximum Password Length","features/auth/login.spec.ts","",""
"","8710","Logout Flow","default","2026-02-18","passed","2026-02-18","Logout – User can log out and access is revoked","features/auth/logout.spec.ts","",""
"","6092","Dashboard loads successfully for authenticated leader","default","2026-02-18","passed","2026-02-18","","features/dashboard/dashboard.spec.ts","",""
"","5348","Verify minimum password length validation on Login","default","2026-02-18","passed","2026-02-18","Login – Single User > Login - Validation","features/auth/login.spec.ts","",""
"","10567","Leader user can login successfully","default","2026-02-18","passed","2026-02-18","Login – Single User","features/auth/login.spec.ts","",""
"","35115","Step 2: Activate Group (Payment)","default","2026-02-18","passed","2026-02-18","Group Lifecycle Flow","features/group/group-lifecycle.spec.ts","",""
"","6566","Payment Page Load: Verify profile payment/billing section loads without errors","default","2026-02-18","passed","2026-02-18","Profile - Payment Section","features/profile/profile-payment.spec.ts","",""
"","12918","Step 1: Create Group","default","2026-02-18","passed","2026-02-18","Group Lifecycle Flow","features/group/group-lifecycle.spec.ts","",""
"","17344","Authenticate member","setup-auth","2026-02-18","passed","2026-02-18","Global Authentication Setup","setup/auth.setup.ts","",""
"","3486","Complete Onboarding Process","default","2026-02-18","passed","2026-02-18","Registration and Onboarding Flow","features/auth/registration.spec.ts","",""
"","15289","User can send and receive messages in group chat","default","2026-02-18","passed","2026-02-18","Chat – Send Message Flow","features/chat/chat-send-message.spec.ts","",""
"","36894","Step 4: Create Session","default","2026-02-18","passed","2026-02-18","Group Lifecycle Flow","features/group/group-lifecycle.spec.ts","",""
"","9116","Member user can login successfully","default","2026-02-18","passed","2026-02-18","Login – Single User","features/auth/login.spec.ts","",""
"","2499","Verify minimum password length validation on Registration","default","2026-02-18","passed","2026-02-18","Registration - Validation","features/auth/registration.spec.ts","",""
"","2592","Verify password visibility can be toggled in Registration","default","2026-02-18","passed","2026-02-18","Registration - Password Visibility","features/auth/registration.spec.ts","",""
"","45548","User can request password reset and update password successfully","default","2026-02-18","failed","2026-02-18","Forgot Password Flow","features/auth/forgot-password.spec.ts","",""
"","18265","Verify error messages for empty credentials","default","2026-02-18","passed","2026-02-18","Login – Single User > Login - Validation","features/auth/login.spec.ts","",""
"","71901","User can request password reset and update password successfully","default","2026-02-18","failed","2026-02-18","Forgot Password Flow","features/auth/forgot-password.spec.ts","",""
"","15497","Verify chat input field accepts text and shows typed content","default","2026-02-18","passed","2026-02-18","Chat – Send Message Flow","features/chat/chat-send-message.spec.ts","",""
"","2424","Login - Verify password visibility can be toggled","default","2026-02-18","passed","2026-02-18","Login - Password Visibility Toggle","features/auth/login.spec.ts","",""
"","18738","Authenticate leader","setup-auth","2026-02-18","passed","2026-02-18","Global Authentication Setup","setup/auth.setup.ts","",""
"","16646","Registration and Email OTP Verification","default","2026-02-18","passed","2026-02-18","Registration and Onboarding Flow","features/auth/registration.spec.ts","",""
"","4547","Invalid Login Error","default","2026-02-18","passed","2026-02-18","Login – Single User > Invalid Login - Verify error message appears with incorrect credentials","features/auth/login.spec.ts","",""
